country,year,sex,iso2c,iso3c,region,capital,longitude,latitude,income,lending,lifexp,pop,primedu,smoke,unemployed,obese
Afghanistan,1983,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,44.403,6388703,NA,NA,NA,25554.812
Afghanistan,1983,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,46.331,6149027,NA,NA,NA,79937.35100000001
Afghanistan,1984,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,45.097,6224256,1533795,NA,NA,24897.024
Afghanistan,1984,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,47.066,5980036,642625,NA,NA,83720.50399999999
Afghanistan,1985,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,45.796,6091891,1573704,NA,NA,24367.564000000002
Afghanistan,1985,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,47.807,5846317,634908,NA,NA,87694.75499999999
Afghanistan,1986,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,46.499,5988521,NA,NA,NA,23954.084
Afghanistan,1986,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,48.55,5747658,NA,NA,NA,86214.87
Afghanistan,1987,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,47.204,5918154,NA,NA,NA,29590.77
Afghanistan,1987,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,49.29,5686380,NA,NA,NA,90982.08
Afghanistan,1988,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,47.906,5922667,NA,NA,NA,29613.335
Afghanistan,1988,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,50.023,5695338,NA,NA,NA,96820.74600000001
Afghanistan,1989,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,48.601,6054347,NA,NA,NA,36326.082
Afghanistan,1989,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,50.742,5814530,NA,NA,NA,104661.54000000001
Afghanistan,1990,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,49.281,6344615,NA,NA,NA,38067.69
Afghanistan,1990,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,51.442,6067693,NA,NA,NA,115286.167
Afghanistan,1991,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,49.938,6821674,NA,NA,727259,40930.044
Afghanistan,1991,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,52.119,6477343,NA,NA,921467,136024.203
Afghanistan,1992,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,50.57,7461094,NA,NA,800650,52227.657999999996
Afghanistan,1992,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,52.774,7024452,NA,NA,1007868,154537.94400000002
Afghanistan,1993,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,51.172,8176786,3262547,NA,891678,57237.50199999999
Afghanistan,1993,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,53.405,7639817,1078773,NA,1099446,175715.791
Afghanistan,1994,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,51.746,8848710,NA,NA,966102,70789.68000000001
Afghanistan,1994,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,54.012,8227017,NA,NA,1194152,197448.408
Afghanistan,1995,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,52.287,9392624,NA,NA,1021354,75140.992
Afghanistan,1995,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,54.592,8718033,NA,NA,1290530,226668.858
Afghanistan,1996,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,52.798,9770489,NA,NA,1070846,87934.40100000001
Afghanistan,1996,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,55.141,9082948,NA,NA,1317482,245239.59600000002
Afghanistan,1997,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,53.285,10012241,NA,NA,1092135,100122.41
Afghanistan,1997,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,55.663,9344885,NA,NA,1373605,271001.665
Afghanistan,1998,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,53.753,10184269,NA,NA,1110085,101842.69
Afghanistan,1998,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,56.162,9553496,NA,NA,1405319,286604.88
Afghanistan,1999,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,54.21,10386587,NA,NA,1139824,114252.45700000001
Afghanistan,1999,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,56.645,9784257,NA,NA,1447483,313096.224
Afghanistan,2000,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,54.663,10689506,NA,NA,1170715,128274.072
Afghanistan,2000,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,57.12,10090447,NA,NA,1486626,343075.19800000003
Afghanistan,2001,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,55.119,11117752,NA,NA,1217060,144530.776
Afghanistan,2001,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,57.596,10489236,NA,NA,1542127,377612.49600000004
Afghanistan,2002,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,55.583,11642104,NA,NA,1278187,151347.352
Afghanistan,2002,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,58.08,10958666,NA,NA,1647745,416429.30799999996
Afghanistan,2003,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,56.056,12214634,NA,NA,1345198,171004.876
Afghanistan,2003,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,58.578,11466237,NA,NA,1703768,458649.48
Afghanistan,2004,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,56.542,12763723,NA,NA,1392905,191455.845
Afghanistan,2004,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,59.093,11962961,NA,NA,1779730,502444.362
Afghanistan,2005,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,57.044,13239686,NA,NA,1427503,211834.976
Afghanistan,2005,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,59.628,12414591,NA,NA,1851015,546242.0040000001
Afghanistan,2006,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,57.562,13623891,NA,NA,1448765,231606.14700000003
Afghanistan,2006,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,60.183,12809158,NA,NA,1848490,602030.426
Afghanistan,2007,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,58.092,13938967,NA,NA,1446307,250901.40600000002
Afghanistan,2007,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,60.751,13161569,NA,NA,1937909,644916.881
Afghanistan,2008,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,58.626,14225722,NA,NA,1481182,284514.44
Afghanistan,2008,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,61.326,13496554,NA,NA,1910302,701820.8080000001
Afghanistan,2009,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,59.159,14544059,NA,NA,1563486,305425.239
Afghanistan,2009,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,61.898,13850754,NA,NA,2065286,747940.7160000001
Afghanistan,2010,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,59.683,14935754,NA,NA,1624861,328586.58800000005
Afghanistan,2010,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,62.459,14249753,NA,NA,2111101,812235.921
Afghanistan,2011,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,60.19,15415362,NA,NA,1676421,369968.688
Afghanistan,2011,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,63,14702051,NA,NA,2173110,882123.0599999999
Afghanistan,2012,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,60.675,15964873,NA,NA,1735701,399121.825
Afghanistan,2012,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,63.514,15196503,NA,NA,2252122,957379.689
Afghanistan,2013,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,61.133,16554276,NA,NA,1803092,446965.45200000005
Afghanistan,2013,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,63.999,15715313,NA,NA,2307008,1037210.658
Afghanistan,2014,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,61.563,17138798,NA,NA,1848248,479886.3439999999
Afghanistan,2014,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,64.453,16231996,NA,NA,2354451,1136239.7200000002
Afghanistan,2015,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,61.965,17686166,NA,NA,1889590,530584.98
Afghanistan,2015,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,64.877,16727437,NA,NA,2413267,1221102.9009999998
Afghanistan,2016,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,62.343,18187045,17558154,NA,1922553,581985.4400000001
Afghanistan,2016,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,65.275,17196083,10937408,NA,2461447,1306902.308
Albania,1975,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,67.19,1234350,NA,NA,NA,54311.40000000001
Albania,1975,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,70.369,1170481,NA,NA,NA,100661.366
Albania,1976,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,67.596,1261906,NA,NA,NA,58047.676
Albania,1976,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,70.71,1196620,NA,NA,NA,105302.56000000001
Albania,1977,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,67.943,1290226,NA,NA,NA,61930.848
Albania,1977,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,71.046,1223320,NA,NA,NA,108875.48000000001
Albania,1978,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,68.204,1317407,NA,NA,NA,65870.35
Albania,1978,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,71.384,1248859,NA,NA,NA,113646.169
Albania,1979,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,68.376,1343973,NA,NA,NA,69886.596
Albania,1979,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,71.729,1273859,NA,NA,NA,118468.88700000002
Albania,1980,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,68.475,1371795,NA,NA,NA,74076.93000000001
Albania,1980,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,72.09,1300202,NA,NA,NA,123519.19
Albania,1981,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,68.533,1399324,NA,NA,NA,78362.14399999999
Albania,1981,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,72.479,1326732,NA,NA,NA,128693.00399999999
Albania,1982,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,68.59,1428723,NA,NA,NA,82865.934
Albania,1982,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,72.893,1355555,NA,NA,NA,134199.945
Albania,1983,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,68.673,1458845,NA,NA,NA,87530.7
Albania,1983,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,73.323,1385115,NA,NA,NA,139896.615
Albania,1984,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,68.788,1489681,NA,NA,NA,93849.903
Albania,1984,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,73.754,1414748,NA,NA,NA,145719.04400000002
Albania,1985,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,68.92,1520919,NA,NA,NA,98859.735
Albania,1985,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,74.156,1443843,NA,NA,NA,153047.358
Albania,1986,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,69.04,1551867,NA,NA,NA,105526.956
Albania,1986,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,74.492,1470768,NA,NA,NA,158842.94400000002
Albania,1987,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,69.12,1585097,NA,NA,NA,110956.79000000001
Albania,1987,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,74.744,1498508,NA,NA,NA,164835.88
Albania,1988,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,69.145,1616385,NA,NA,NA,117996.105
Albania,1988,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,74.903,1525951,NA,NA,NA,172432.46300000002
Albania,1989,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,69.122,1658693,NA,NA,NA,126060.66799999999
Albania,1989,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,74.977,1569250,NA,NA,NA,180463.75
Albania,1990,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,69.07,1682999,NA,NA,NA,132956.921
Albania,1990,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,74.991,1603543,NA,NA,NA,187614.531
Albania,1991,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,69.017,1662000,NA,NA,273914,136283.99999999997
Albania,1991,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,74.98,1604790,NA,NA,253621,192574.8
Albania,1992,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,68.997,1636737,NA,NA,267050,139122.64500000002
Albania,1992,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,74.985,1610302,NA,NA,261642,196456.84399999998
Albania,1993,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,69.037,1610163,NA,NA,262344,141694.344
Albania,1993,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,75.039,1617124,NA,NA,270238,202140.5
Albania,1994,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,69.15,1586873,NA,NA,259025,145992.316
Albania,1994,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,75.158,1620663,NA,NA,271445,207444.864
Albania,1995,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,69.347,1570384,NA,NA,256381,150756.864
Albania,1995,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,75.352,1617400,NA,NA,271173,211879.4
Albania,1996,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,69.631,1562406,1421515,NA,256266,156240.6
Albania,1996,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,75.618,1605627,1480776,NA,268766,215154.018
Albania,1997,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,69.982,1561433,NA,NA,259120,162389.032
Albania,1997,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,75.931,1586848,NA,NA,260798,217398.17599999998
Albania,1998,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,70.376,1564104,NA,NA,254636,168923.23200000002
Albania,1998,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,76.269,1564426,NA,NA,263277,219019.64
Albania,1999,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,70.797,1565728,NA,NA,256623,175361.536
Albania,1999,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,76.616,1543050,NA,NA,261022,220656.15000000002
Albania,2000,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,71.216,1563154,1496122,NA,255435,182889.01799999998
Albania,2000,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,76.953,1525873,1487809,NA,257842,224303.33099999998
Albania,2001,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,71.606,1550940,1482566,NA,252291,187663.74
Albania,2001,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,77.263,1509233,1467720,NA,256449,226384.94999999998
Albania,2002,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,71.951,1544872,NA,NA,253328,194653.872
Albania,2002,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,77.538,1506138,NA,NA,256992,231945.252
Albania,2003,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,72.246,1535242,1437379,NA,251534,202651.94400000002
Albania,2003,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,77.777,1504374,1434254,NA,257308,237691.092
Albania,2004,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,72.493,1524700,1413766,NA,248221,208883.89999999997
Albania,2004,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,77.982,1502239,1415280,NA,255561,243362.718
Albania,2005,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,72.708,1514104,NA,NA,244180,216516.87200000003
Albania,2005,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,78.165,1497383,NA,NA,253342,248565.578
Albania,2006,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,72.919,1503318,NA,NA,238562,223994.38199999998
Albania,2006,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,78.349,1489229,NA,NA,247867,254658.159
Albania,2007,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,73.156,1491760,1417596,811517,233431,231222.8
Albania,2007,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,78.551,1478257,1440636,141913,242419,258694.97499999998
Albania,2008,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,73.438,1481095,1362640,NA,185863,238456.295
Albania,2008,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,78.781,1466219,1360917,NA,201634,263919.42
Albania,2009,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,73.769,1472657,1335383,NA,179753,247406.37600000002
Albania,2009,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,79.037,1454862,1330560,NA,228908,267694.608
Albania,2010,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,74.145,1467433,1306644,780674,187274,255333.34199999998
Albania,2010,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,79.302,1445588,1280949,131549,229574,273216.132
Albania,2011,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,74.552,1466246,1345170,NA,194629,265390.526
Albania,2011,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,79.554,1438949,1357696,NA,198028,279156.10599999997
Albania,2012,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,74.966,1467285,1435724,767390,216879,275849.58
Albania,2012,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,79.77,1433116,1427201,126114,164335,285190.084
Albania,2013,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,75.364,1468260,1325753,NA,258942,286310.7
Albania,2013,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,79.934,1426832,1265454,NA,190411,291073.728
Albania,2014,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,75.734,1468434,1447603,759180,280309,296623.668
Albania,2014,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,80.045,1420670,1473677,120757,215274,295499.36000000004
Albania,2015,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,76.066,1466457,1430366,NA,250295,306489.513
Albania,2015,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,80.107,1414246,1419743,NA,241808,301234.398
Albania,2016,Male,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,76.353,1465287,1432910,748762,229728,316501.992
Albania,2016,Female,AL,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,80.134,1410814,1443230,115687,205598,307557.452
Algeria,1975,Male,DZ,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD,51.986,8355218,5323094,NA,NA,233946.10399999996
Algeria,1975,Female,DZ,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD,53.729,8252489,3201435,NA,NA,883016.323
Algeria,1976,Male,DZ,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD,52.751,8597951,6053316,NA,NA,249340.57899999997
Algeria,1976,Female,DZ,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD,54.554,8487850,3767006,NA,NA,942151.35
Algeria,1977,Male,DZ,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD,53.649,8850291,6498445,NA,NA,274359.021
Algeria,1977,Female,DZ,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD,55.554,8732613,4165074,NA,NA,995517.882
Algeria,1978,Male,DZ,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD,54.669,9113902,6943281,NA,NA,291644.864
Algeria,1978,Female,DZ,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD,56.716,8988364,4509511,NA,NA,1060626.952
Algeria,1979,Male,DZ,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD,55.79,9390803,7062240,NA,NA,319287.302
Algeria,1979,Female,DZ,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD,58.014,9257012,4710196,NA,NA,1129355.464
Algeria,1980,Male,DZ,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD,56.983,9682121,7096451,NA,NA,348556.356
Algeria,1980,Female,DZ,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD,59.4,9539544,4949074,NA,NA,1211522.088
Algeria,1981,Male,DZ,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD,58.211,9987977,7831170,NA,NA,379543.126
Algeria,1981,Female,DZ,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD,60.814,9836324,5359108,NA,NA,1288558.4440000001
Algeria,1982,Male,DZ,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD,59.426,10307009,7999157,NA,NA,412280.36
Algeria,1982,Female,DZ,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD,62.187,10145893,5906224,NA,NA,1379841.448
